À table;At the table
beurre;butter
eau;water
épice;spice
épicé;spicy
frire;fry
nourriture;food
table;table
lait;milk
déjeuner;lunch
dessert;dessert
dîner;dinner
fromage;cheese
goûter;snack
pain;bread
petit déjeuner;breakfast
plat de résistance;main course
entrée;starter
poivre;pepper
produits-laitiers;dairy product
salé;salty
sel;salt
couteau;knife
repas;meal
restaurant;restaurant
verre;glass
carafe;carafe
casserole;pan
cuillère à soupe;soupspoon
fourchette;fork
machine à café;coffee maker
nappe;tablecloth
petite cuillère;teaspoon
poêle;frying pan
soupe;soup
tache;stain
ustensile;cookware
viande;meat
vin;wine
