Animaux;Animals
agneau;lamb
aigle;eagle
âne;donkey
bélier;ram
boeuf;beef
bourdon;bumble-bee
cafard;cockroach
canard;duck
chat;cat
cheval;horse
chien;dog
cochon;pig
coq;rooster
crabe;crab
escargot;snail
homard;lobster
insecte;insect
lapin;rabbit
lézard;lizard
lion;lion
moustique;mosquito
mouton;sheep
mulet;mule
oiseau;bird
orque;orque
perroquet;parrot
pigeon;pigeon
poisson;fish
rat;rat
singe;monkey
taureau;bull
abeille;bee
autruche;ostrich
baleine;whale
brebis;ewe
chèvre;goat
crevette;shrimp
fourmi;ant
grenouille;frog
guêpe;wasp
marmotte;marmot
mouche;fly
moule;mussel
oie;goose
panthère;panther
perruche;budgerigar
poule;hen
souris;mouse
tortue;turtle
vache;cow
